Year,Gender,Course Name,Domicile,Decision
2020,Male,MSc Financial Risk Management,China,Conditional Offer
2020,Male,MSc Machine Learning,France,None
2020,Male,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Male,MSc Machine Learning,England,Rejection
2020,Male,MSc Computer Science,China,Rejection
2020,Female,MSc Computer Science,China,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Female,MSc Computational Statistics and Machine Learning,China,Conditional Offer
2020,Male,MSc Information Security,China,Rejection
2020,Female,MSc Computer Science,England,Rejection
2020,Female,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Female,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Male,MSc Computer Science,England,Rejection
2020,Male,MSc Financial Risk Management,China,Conditional Offer
2020,Male,MSc Robotics and Computation,Northern Ireland,Rejection
2020,Female,MSc Computational Finance,England,None
2020,Female,MSc Financial Risk Management,China,Unconditional Offer
2020,Male,MSc Computational Finance,China,Conditional Offer
2020,Female,MSc Machine Learning,Morocco,Rejection
2020,Female,MSc Software Systems Engineering,Indonesia,Rejection
2020,Male,MSc Computational Finance,England,Unconditional Offer
2020,Female,MSc Computer Science,China,None
2020,Male,MSc Machine Learning,China,Rejection
2020,Female,MSc Information Security,France,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,China,None
2020,Male,MSc Machine Learning,Germany,Conditional Offer
2020,Female,MSc Computer Science,China,Conditional Offer
2020,Male,MSc Machine Learning,France,Rejection
2020,Male,MSc Machine Learning,Singapore,Rejection
2020,Male,"MSc Computer Graphics, Vision and Imaging",England,Rejection
2020,Female,MSc Computer Science,Italy,Rejection
2020,Male,MSc Information Security,China,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Male,MSc Financial Risk Management,France,Rejection
2020,Male,MSc Computer Science,England,Conditional Offer
2020,Female,MSc Computational Finance,China,Rejection
2020,Female,MSc Information Security,China,Rejection
2020,Male,MSc Machine Learning,England,Rejection
2020,Male,MSc Financial Risk Management,China,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,England,Rejection
2020,Male,MSc Machine Learning,China,Rejection
2020,Male,MSc Computer Science,England,Rejection
2020,Female,MSc Computer Science,China,Rejection
2020,Female,MSc Robotics and Computation,China,Conditional Offer
2020,Female,MSc Computer Science,China,Rejection
2020,Male,MSc Web Science and Big Data Analytics,United States of America,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,England,Rejection
2020,Male,MSc Computer Science,China,Rejection
2020,Male,MSc Financial Risk Management,China,Rejection
2020,Female,MSc Robotics and Computation,Turkey,Rejection
2020,Male,MSc Computational Finance,China,Conditional Offer
2020,Female,MSc Computer Science,Romania,Rejection
2020,Female,MSc Machine Learning,China,Rejection
2020,Male,MSc Computational Finance,Saudi Arabia,Conditional Offer
2020,Male,MSc Computer Science,China,Rejection
2020,Female,MSc Computational Finance,China,Rejection
2020,Male,MSc Computer Science,China,Rejection
2020,Male,"MSc Computer Graphics, Vision and Imaging",China,Conditional Offer
2020,Female,MSc Computer Science,China,Rejection
2020,Male,MSc Machine Learning,China,Unconditional Offer
2020,Female,MSc Computer Science,Scotland,Conditional Offer
2020,Female,"MSc Disability, Design and Innovation",China,Conditional Offer
2020,Male,MSc Machine Learning,China,Rejection
2020,Male,MSc Machine Learning,China,Rejection
2020,Male,MSc Computational Finance,Brunei Darussalam,Rejection
2020,Male,MSc Computational Finance,England,Rejection
2020,Male,MSc Web Science and Big Data Analytics,China,Rejection
2020,Female,"MSc Computer Graphics, Vision and Imaging",China,Rejection
2020,Male,MSc Computational Finance,England,Unconditional Offer
2020,Female,MSc Financial Risk Management,China,Rejection
2020,Male,"MSc Computer Graphics, Vision and Imaging",England,Rejection
2020,Female,MSc Computational Statistics and Machine Learning,China,Conditional Offer
2020,Female,MSc Computational Statistics and Machine Learning,England,Conditional Offer
2020,Male,MSc Financial Risk Management,England,Rejection
2020,Male,MSc Financial Risk Management,Wales,Rejection
2020,Male,MSc Financial Risk Management,Syrian Arab Republic (Syria),Rejection
2020,Female,MSc Computational Finance,China,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Male,MSc Computer Science,Hong Kong,Conditional Offer
2020,Female,MSc Financial Risk Management,Thailand,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,China,Unconditional Offer
2020,Female,MSc Computational Statistics and Machine Learning,England,Conditional Offer
2020,Female,MSc Computer Science,China,Rejection
2020,Male,MSc Computer Science,China,Rejection
2020,Male,MSc Computer Science,China,Rejection
2020,Male,MSc Machine Learning,England,None
2020,Female,MSc Computational Finance,India,Conditional Offer
2020,Female,MSc Computer Science,China,Rejection
2020,Male,MSc Machine Learning,United States of America,Rejection
2020,Female,MSc Robotics and Computation,England,Rejection
2020,Male,MSc Robotics and Computation,England,Rejection
2020,Female,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Male,MSc Web Science and Big Data Analytics,China,Rejection
2020,Female,MSc Computational Finance,China,Conditional Offer
2020,Male,MSc Robotics and Computation,Hong Kong,Rejection
2020,Female,MSc Information Security,England,Conditional Offer
2020,Female,MSc Computer Science,China,Rejection
2020,Female,MSc Financial Risk Management,Nigeria,Rejection
2020,Female,MSc Computational Finance,United States of America,Rejection
2020,Male,MSc Machine Learning,England,Conditional Offer
2020,Male,MSc Computational Finance,England,Rejection
2020,Male,MSc Robotics and Computation,China,Rejection
2020,Male,MSc Computer Science,China,Rejection
2020,Male,MSc Computer Science,Malaysia,Conditional Offer
2020,Female,MSc Financial Risk Management,England,Rejection
2020,Female,"MSc Computer Graphics, Vision and Imaging",China,Rejection
2020,Male,MSc Machine Learning,China,Rejection
2020,Male,MSc Computational Finance,England,Rejection
2020,Female,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Male,MSc Computer Science,China,Rejection
2020,Male,MSc Financial Risk Management,China,Rejection
2020,Male,MSc Financial Risk Management,Switzerland,Conditional Offer
2020,Female,MSc Robotics and Computation,England,Rejection
2020,Male,"MSc Computer Graphics, Vision and Imaging",Germany,Conditional Offer
2020,Male,MSc Computer Science,Hong Kong,Rejection
2020,Male,MSc Computational Finance,Japan,Rejection
2020,Female,MSc Software Systems Engineering,Romania,Unconditional Offer
2020,Male,MSc Robotics and Computation,China,Rejection
2020,Male,MSc Computer Science,China,Conditional Offer
2020,Male,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Male,MSc Machine Learning,China,Rejection
2020,Male,MSc Software Systems Engineering,England,Rejection
2020,Male,MSc Financial Risk Management,China,Rejection
2020,Female,MSc Machine Learning,China,Rejection
2020,Female,MSc Computer Science,China,Rejection
2020,Male,MSc Machine Learning,China,Rejection
2020,Male,MSc Computer Science,Colombia,Rejection
2020,Male,MSc Financial Risk Management,Yemen,Rejection
2020,Male,MSc Software Systems Engineering,United States of America,Conditional Offer
2020,Female,MSc Machine Learning,China,None
2020,Male,MSc Machine Learning,China,Conditional Offer
2020,Male,MSc Machine Learning,Germany,Rejection
2020,Female,MSc Machine Learning,China,Rejection
2020,Male,MSc Machine Learning,Canada,Rejection
2020,Male,MSc Computational Finance,Ireland,Rejection
2020,Female,MSc Financial Risk Management,China,Rejection
2020,Female,MSc Robotics and Computation,England,Rejection
2020,Female,MSc Robotics and Computation,England,Conditional Offer
2020,Female,MSc Computational Finance,China,Rejection
2020,Male,MSc Computational Finance,China,Unconditional Offer
2020,Female,MSc Financial Risk Management,Italy,Rejection
2020,Female,MSc Machine Learning,Hungary,Rejection
2020,Male,MSc Robotics and Computation,India,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,England,Rejection
2020,Female,MSc Computer Science,China,Conditional Offer
2020,Female,MSc Computational Finance,China,Rejection
2020,Male,MSc Information Security,England,Rejection
2020,Male,"MSc Computer Graphics, Vision and Imaging",China,Rejection
2020,Female,MSc Financial Risk Management,China,Rejection
2020,Male,"MSc Computer Graphics, Vision and Imaging",China,Conditional Offer
2020,Male,MSc Financial Risk Management,China,Rejection
2020,Female,MSc Financial Risk Management,England,Rejection
2020,Male,MSc Financial Risk Management,Germany,Rejection
2020,Female,MSc Computational Finance,China,Rejection
2020,Male,MSc Computer Science,China,Rejection
2020,Female,MSc Machine Learning,Nigeria,Unconditional Offer
2020,Male,MSc Software Systems Engineering,England,Rejection
2020,Male,MSc Financial Risk Management,China,Rejection
2020,Male,MSc Machine Learning,"Korea, Republic of",Rejection
2020,Female,MSc Robotics and Computation,China,Conditional Offer
2020,Male,MSc Computational Statistics and Machine Learning,England,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Female,MSc Computer Science,India,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,China,Rejection
2020,Female,MSc Computer Science,England,Rejection
2020,Male,MSc Web Science and Big Data Analytics,China,Conditional Offer
2020,Male,MSc Computer Science,Chile,Conditional Offer
2020,Male,MSc Computer Science,China,Rejection
2020,Male,MSc Financial Risk Management,Germany,Conditional Offer
2020,Female,MSc Financial Risk Management,China,Conditional Offer
2020,Male,MSc Computational Finance,Hong Kong,Rejection
2020,Male,MSc Computational Statistics and Machine Learning,India,Rejection
2020,Female,MSc Software Systems Engineering,China,Rejection
2020,Male,MSc Robotics and Computation,China,Rejection
2020,Male,MSc Financial Risk Management,China,Rejection
2020,Male,MSc Software Systems Engineering,England,Rejection
