COD_CODE,COD_NAME
110,East Riding
111,North East Lincolnshire
112,North Lincolnshire
113,York
114,Bournemouth
115,Brighton and Hove
116,Darlington
117,City of Derby
118,Leicester
119,Luton
120,Milton Keynes
121,Poole
122,Portsmouth
123,Rutland
124,Southampton
125,Stoke-on-Trent
126,Swindon
127,Bracknell Forest
128,Windsor & Maidenhead
129,West Berkshire
130,Reading
131,Slough
132,Wokingham
133,Peterborough
134,Halton
135,Warrington
136,Plymouth
137,Torbay
138,Southend
139,Thurrock
140,Herefordshire
141,Worcestershire
142,Medway
143,Blackburn with Darwen
144,Blackpool
145,Nottingham
146,Telford and The Wrekin
161,Aberdeen (City)
162,Aberdeenshire
163,Angus
164,Argyll and Bute
165,Scottish Borders
166,Clackmannanshire
167,West Dunbartonshire
168,Dumfries and Galloway
169,Dundee
170,East Ayrshire
171,East Dunbartonshire
172,East Lothian
173,East Renfrewshire
174,Edinburgh
175,Falkirk
176,Fife
177,Glasgow
178,Highland
179,Inverclyde
180,Midlothian
181,Moray
182,North Ayrshire
183,North Lanarkshire
184,Orkney Islands
185,Perthshire and Kinross
186,Renfrewshire
187,Shetland Islands
188,South Ayrshire
189,South Lanarkshire
190,Stirling
191,West Lothian
192,Western Isles
200,Orkney
201,Shetland
202,Western Isles
210,Highland Region - General
211,Caithness
212,Sutherland
213,Ross & Cromarty
214,Skye & Lochalsh
215,Lochaber
216,Inverness
217,Badenoch & Strathspey
218,Nairn
633,Congo (Democratic Republic)
634,Congo
635,Costa Rica
636,Cuba
637,Netherlands Antilles
638,Cyprus (Not otherwise specified)
639,Czechoslovakia
640,Benin
641,Denmark
642,Dominica
643,Dominican Republic
645,Ecuador
646,El Salvador
647,Tuvalu
648,Ethiopia
649,Falkland Islands (Malvinas)
650,Fiji
651,Finland
652,Taiwan
653,France
654,Gabon
655,Gambia
656,Germany
657,East Germany
658,Ghana
659,Gibraltar
660,Kiribati
661,Greece
662,Grenada
663,Guatemala
664,Guinea
666,Haiti
667,Honduras
668,Belize
669,Hong Kong
670,Hungary
671,Iceland
672,India
673,Indonesia
675,Iraq
676,Ireland
677,Israel
678,Italy
679,Ivory Coast (Cote d'Ivoire)
680,Jamaica
681,Japan
682,Jordan
683,Kenya
685,"Korea, Democratic People's Republic of"
686,Kuwait
687,Lao PDR
688,Lebanon
689,Leeward Islands
690,Lesotho
691,Liberia
692,Libya
693,Luxembourg
694,Macao
695,Madagascar
696,Malawi
697,Malaya
698,Malaysia
699,Mali
701,Mauritania
702,Mauritius
703,Mexico
704,Mongolia
705,Montserrat
706,Morocco
707,Mozambique
708,Oman
709,Nepal
710,Netherlands
711,New Caledonia
712,New Guinea (Not In Use)
713,Vanuatu
714,New Zealand
716,Niger
717,Nigeria
718,Norway
721,Pakistan
722,Panama
723,Papua New Guinea
724,Paraguay
725,Peru
726,Philippines
727,Poland
728,Portugal
733,Romania
734,Rwanda
735,"St Helena, Ascension & Tristan da Cunha"
736,St. Kitts-Nevis
737,St Lucia
738,Saint Vincent and the Grenadines
739,Sabah
742,Sarawak
743,Saudi Arabia
744,Seychelles
746,Singapore
747,Solomon Islands
748,Somalia
749,Djibouti
750,South Africa
751,Spain
752,Sudan
753,Suriname
755,Sweden
756,Switzerland
757,Syrian Arab Republic (Syria)
760,Thailand
761,Tibet
762,Togo
763,Trinidad and Tobago
764,United Arab Emirates
765,Tunisia
767,Uganda
768,Egypt
769,Burkina Faso
770,Uruguay
771,United States of America
773,Venezuela (Bolivarian Republic of)
774,Vietnam (Viet Nam)
776,British Virgin Islands
777,West Indies
778,Windward Islands
779,Yemen Arab Republic (North Yemen)
780,Serbia
781,Zambia
782,Not Known
783,Stateless
784,Tonga
785,Senegal
786,East Timor (Timor-Leste)
788,Cape Verde
789,Cayman Islands
790,Equatorial Guinea
791,French Guiana
792,French West Indies (Not In Use)
793,Maldives
794,Portuguese West Africa
795,Reunion
796,Guam
797,Sikkim
798,Namibia
799,Turks and Caicos Islands
800,Virgin Islands (US)
801,British Antarctic Territory
802,Guinea Bissau
803,Sao Tome and Principe
804,Comoros
805,Nauru
807,Macedonia (Former Yugoslav Republic of)
821,Mayotte
822,French Polynesia
823,Pitcairn Islands
824,Anguilla
825,Monaco
826,San Marino
827,Liechtenstein
828,Greenland
829,British Indian Ocean Territory
830,South Georgia and South Sandwich Islands
831,Estonia
832,Latvia
833,Lithuania
834,Croatia
835,Slovenia
836,Armenia
837,Azerbaijan
838,Belarus
839,Kazakhstan
840,Kyrgyzstan
841,Moldova
842,Russian Federation
843,Tajikistan
844,Turkmenistan
845,Ukraine
846,Uzbekistan
847,Georgia
848,Bosnia and Herzegovina
849,Czech Republic
850,Slovakia
851,Eritrea
853,Aland Islands
860,Eritrea
861,Marshall Islands
862,"Micronesia, Federated States of"
863,East Timor
901,Avon
902,Bedfordshire
903,Berkshire
904,Buckinghamshire
905,Cambridgeshire
906,Cheshire
907,Cleveland
908,Cornwall
909,Cumbria
910,Derbyshire
911,Devon
912,Dorset
