CRS_CODE,CRS_NAME
TAFEDISCLD01,Affil - Cat 2 Clinical Dentistry
TAFEDISORT01,Affil - Cat 1 Orthodontics
TAFEDISPDD01,Affil - Cat 1 Paediatric Dentistry
TAFEENSEEE01,Affil - Cat 1 Electronic & Electrical Engineering
TAFEENSMMO01,Affil - Cat 1 Microwaves and Modern Optics
TAFEESSING01,Affil - Cat 1 East European Studies
TAFENGSING01,Affil - Cat 1 English
TAFEPISING01,Affil - Cat 1 Epidemiology
TAFERGSING01,Affil - Cat 1 Ergonomics
TAFFINSING01,Affil - Cat 1 Fine Art
TAFFINSPRI01,Affil - Cat 1 Printmaking
TAFFINSSTG01,Affil - Cat 1 Stage Design
TAFGEMSSVY01,Affil - Cat 1 Surveying
TAFGEOSREM01,Affil - Cat 1 Remote Sensing
TAFGERSING01,Affil - Cat 1 German
TAFHEBSING01,Affil - Cat 1 Hebrew
TAFHISSING01,Affil - Cat 1 History
TAFHUMSCMN01,Affil - Cat 1 Human Communication
TAFICHSING01,Affil - Cat 1 Child Health
TAFIMMSING01,Affil - Cat 1 Immunology
TAFIMMSMMD01,Affil - Cat 1 Molecular Medicine
CXXGRAXPGX01,Affil - Cat 1 Graduation Ceremonies PG
CXXGRAXUGX01,Affil - Cat 1 Graduation Ceremonies UG
DDNBENSBIL01,EngD Biochemical Engineering & Bioprocess Leadrshp
DDNCHESMMS01,EngD Molecular Modelling & Materials Simulation
DDNENVSENG01,EngD Environmental Engineering Science
DDYPSYSCAP01,DPsychotherapy Child & Adolescent Psych.
DDYPSYSCLI01,DClinPsy Clinical Psychology
RRDANASING01,Research Degree:  Anatomy and Developmental Biol
RRDHMESING01,Research Degree: History of Medicine
RRDBARSING01,Research Degree: Bartlett School of Architecture
RRDBARSING02,Research Degree: Bartlett School of Architecture
RRDBOCSING02,Research Degree:  Biochemistry & Molecular Biology
RRDBOLSING01,Research Degree:  Biology
RRDAISSING01,Research Degree:  Centre for Adv Instrmntn Systs
RRDARLSING01,Research Degree:  Institute of Archaeology
RRDARLSING02,Research Degree:  Institute of Archaeology
RRDCENSING01,Research Degree:  Chemical Engineering
RRDCHESING01,Research Degree:  Chemistry
RRDCIVSING01,Research Degree:  Civil & Envirnmntal Engineering
RRDEURSING01,Research Degree: Centre for European Studies
RRDCMPSING01,Research Degree: COMPLEX
RRDMEDSEDU01,Research Degree:  Division of Medical Education
RRDCOMSING01,Research Degree:  Computer Science
RRDEENSING01,Research Degree:  Electronic & Electrical Eng
RRDENGSING01,Research Degree:  English Language and Literature
RRDFRESING01,Research Degree:  French
RRDGEOSING01,Research Degree: Geography
RRDGERSING01,Research Degree:  German
RRDCLASING01,Research Degree: Greek and Latin
RRDHEBSING01,Research Degree:  Hebrew and Jewish Studies
RRDHISSING01,Research Degree:  History
RRDHARSING01,Research Degree:  History of Art
RRDHCSSING01,Research Degree:  Human Communication Science
RRDHCSSING02,Research Degree:  Human Communication Science
RRDITASING01,Research Degree:  Italian
RRDPOLSING01,Research Degree: Political Science
RRDMATSING01,Research Degree:  Mathematics
RRDMECSING01,Research Degree:  Mechanical Engineering
RRDPHASING01,Research Degree:  Pharmacology
RRDPHISING01,Research Degree:  Philosophy
RRDPHYSING01,Research Degree:  Physics and Astronomy
RRDPHLSING01,Research Degree:  Physiology
RRDECOSING01,Research Degree:  Economics
RRDPSYSING01,Research Degree:  Psychology
RRDSCASING01,Research Degree: Scandinavian Studies
RRDFINSING01,Research Degree:  Slade School of Fine Art
RRDFINSING02,Research Degree:  Slade School of Fine Art
RRDSPASING01,Research Degree:  Spanish & Latin American Studies
RRDEPISING01,Research Degree:  Epidemiology and Public Health
RRDEPISING02,Research Degree:  Epidemiology and Public Health
RRDMHSSING02,Research Degree:  Mental Health Sciences
TAFANASNBL01,Affil - Cat 1 Neurobiology
TAFANTSING01,Affil - Cat 1 Anthropology
TAFANTSSOC01,Affil - Cat 1 Social Anthropology
TAFARCSDIP01,Affil - Cat 1 Architecture (Affiliate Dip Course)
TAFARCSING01,Affil - Cat 1 Architecture
TAFARCSPRE01,Affil - Cat 1 Architecture (Pre-Dip Course)
TAFARLSING01,Affil - Cat 1 Archaeology
TAFARMSING01,Affil - Cat 1 Archive Studies
TAFASTSING01,Affil - Cat 1 Astronomy
TAFBENSING01,Affil - Cat 1 Biochemical Engineering
TAFBOCSING01,Affil - Cat 1 Biochemistry
TAFCENSING01,Affil - Cat 1 Chemical Engineering
TAFCLTSING01,Affil - Cat 1 Comparative Literature
TAFCMPSMBC01,Affil - Cat 1 Modelling Biological Complexity
TAFCOMSDCN01,Affil - Cat 1 Data Communications Networks & D S
TAFCOMSING01,Affil - Cat 1 Computer Science
TAFDEVSING01,Affil - Cat 1 Development Planning
TAFDUTSING01,Affil - Cat 1 Dutch
TAFEARSGEL01,Affil - Cat 1 Geology
TAFEARSHYD01,Affil - Cat 1 Hydrogeology
TAFEARSMPL01,Affil - Cat 1 Micropalaeontology
TMAARLSMAS01,MA Managing Archaeological Sites
TMAARLSPCO01,MA Principles of Conservation
TMAARLSPUB01,MA Public Archaeology
TMAARMSING01,MA Archives and Records Management
TMACLASING01,MA Classics
