CAP_AYRC,CAP_CRSC,STU_GEND,STU_CODC,CAP_IDRC
2019,TMSCOMSSML01,M,5826,CFUF
2019,TMSCOMSSSE01,F,672,C
2020,TMSCOMSCGV01,M,764,R
2019,TMSCOMSSSE01,M,631,R
2019,TMSCOMSING01,M,771,R
2020,TMSCOMSSSE01,M,631,R
2019,TMSCOMSMCL01,M,5826,CFUF
2018,TMSCOMSFRM01,M,5826,R
2019,TMSCOMSING01,M,631,R
2019,TMSCOMSFRM01,M,661,R
2020,TMSCOMSMCL01,M,631,R
2018,TMSCOMSING01,F,631,R
2019,TMSCOMSRAC01,M,631,R
2018,TMSCOMSFRM01,M,631,R
2020,TMSCOMSING01,M,5826,R
2020,TMSCOMSFRM01,F,631,R
2018,TMSCOMSRAC01,M,839,R
2020,TMSCOMSING01,F,631,R
2019,TMSCOMSMCL01,M,5826,R
2020,TMSCOMSSML01,M,5826,UF
2020,TMSCOMSMCL01,M,631,R
2019,TMSCOMSCGV01,F,661,R
2019,TMSCOMSMCL01,M,631,R
2020,TMSCOMSMCL01,M,746,CFUF
2019,TMSCOMSMCL01,M,5826,R
2019,TMSCOMSING01,M,631,R
2019,TMSCOMSMCL01,M,631,R
2018,TMSCOMSWEB01,F,631,C
2018,TMSCOMSRAC01,M,717,R
2019,TMSCOMSFRM01,M,849,UF
2019,TMSCOMSING01,F,631,UD
2020,TMSCOMSSML01,M,631,R
2018,TMSCOMSFRM01,F,631,R
2019,TMSCOMSRAC01,M,733,CFUF
2020,TMSCOMSSSE01,F,631,R
2020,TMSCOMSCGV01,F,653,C
2020,TMSCOMSING01,M,5826,CFUF
2019,TMSCOMSMCL01,M,631,R
2019,TMSCOMSING01,M,631,CFUF
2018,TMSCOMSMCL01,M,5826,R
2020,TMSCOMSCFI01,M,631,UF
2019,TMSCOMSCFI01,M,631,R
2019,TMSCOMSMCL01,M,5826,R
2018,TMSCOMSMCL01,M,631,R
2019,TMSCOMSSML01,M,000,R
2020,TMSCOMSFRM01,F,746,R
2018,TMSCOMSFRM01,M,669,CFUF
2020,TMSCOMSRAC01,F,672,CFUF
2018,TMSCOMSFRM01,M,631,R
2019,TMSCOMSCGV01,F,5826,R
2018,TMSCOMSSSE01,M,631,C
2018,TMSCOMSING01,M,5826,CF
2020,TMSCOMSCGV01,M,5826,R
2018,TMSCOMSMCL01,M,631,R
2020,TMSCOMSING01,M,631,R
2020,TMSCOMSING01,F,5826,CFUF
2019,TMSCOMSCGV01,M,849,R
2020,TMSCOMSFRM01,M,631,R
2019,TMSCOMSFRM01,F,631,R
2020,TMSCOMSINF01,M,661,R
2020,TMSCOMSFRM01,M,631,R
2019,TMSCOMSRAC01,M,631,R
2020,TMSCOMSSML01,M,631,CFUF
2020,TMSCOMSFRM01,F,631,CFUF
2020,TMSCOMSSML01,F,631,R
2020,TMSCOMSMCL01,M,631,R
2019,TMSCOMSSSE01,M,5826,R
2020,TMSCOMSCFI01,M,631,R
2020,TMSCOMSING01,F,656,R
2019,TMSCOMSCFI01,M,631,UF
